"",".y.","group1","group2","n1","n2","statistic","p"
"1","LC3totIntMinMax","Basal","Starved",106,105,1382,8.05e-20
"2","LC3totIntMinMax","Basal","Starved",105,105,1326,3.86e-20
"3","LC3totIntMinMax","Basal","Starved",105,105,3046,2.1e-07
"4","LC3totIntMinMax","Basal","Starved",105,105,1506,2.51e-19
