"",".y.","group1","group2","n1","n2","statistic","p"
"1","LAMPSumIntMinMax","Basal","Starved",106,105,5365,0.653
"2","LAMPSumIntMinMax","Basal","Starved",105,105,5129,0.384
"3","LAMPSumIntMinMax","Basal","Starved",105,105,6161.5,0.141
"4","LAMPSumIntMinMax","Basal","Starved",105,105,5278,0.595
