"",".y.","group1","group2","n1","n2","statistic","p"
"1","LC3CountMinMax","Basal","Starved",106,105,2450.5,2.17e-12
"2","LC3CountMinMax","Basal","Starved",105,105,1860.5,1.09e-16
"3","LC3CountMinMax","Basal","Starved",105,105,3548,8.16e-06
"4","LC3CountMinMax","Basal","Starved",105,105,1503,8.53e-20
