"",".y.","group1","group2","n1","n2","statistic","p"
"1","LAMPIntMinMax","Basal","Starved",106,105,3339,5.2e-07
"2","LAMPIntMinMax","Basal","Starved",105,105,2544,1.57e-11
"3","LAMPIntMinMax","Basal","Starved",105,105,4030,0.000763
"4","LAMPIntMinMax","Basal","Starved",105,105,3536.5,7.23e-06
