"",".y.","group1","group2","n1","n2","statistic","p"
"1","LAMPVolMinMax","Basal","Starved",106,105,5506,0.895
"2","LAMPVolMinMax","Basal","Starved",105,105,5498,0.975
"3","LAMPVolMinMax","Basal","Starved",105,105,6217,0.11
"4","LAMPVolMinMax","Basal","Starved",105,105,5536,0.958
