"",".y.","group1","group2","n1","n2","statistic","p"
"1","LC3IntMinMax","Basal","Starved",106,105,2893,2.79e-08
"2","LC3IntMinMax","Basal","Starved",105,105,2706,2.02e-09
"3","LC3IntMinMax","Basal","Starved",105,105,4361,0.0278
"4","LC3IntMinMax","Basal","Starved",105,105,3710,6.28e-05
