"",".y.","group1","group2","n1","n2","statistic","p"
"1","LC3VolMinMax","Basal","Starved",106,105,2384,1.45e-11
"2","LC3VolMinMax","Basal","Starved",105,105,3046,2.04e-07
"3","LC3VolMinMax","Basal","Starved",105,105,3981,0.00201
"4","LC3VolMinMax","Basal","Starved",105,105,3031,2.77e-08
