"",".y.","group1","group2","n1","n2","statistic","p"
"1","LAMPtotIntMinMax","Basal","Starved",106,105,4599,0.0295
"2","LAMPtotIntMinMax","Basal","Starved",105,105,3395,1.52e-06
"3","LAMPtotIntMinMax","Basal","Starved",105,105,5395.5,0.791
"4","LAMPtotIntMinMax","Basal","Starved",105,105,4150,0.00198
