Filename,LC3CellID,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2
LC3-puncta_MOConly_batch-seg_3Jun21_012b_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_basal_60X_001.nd2,1,0.993988,0.163111,6.05731,1,1
,1,0.966656,0.133237,7.01322,1,1
,1,0.987472,0.123903,7.8699,1,1
,1,0.989777,0.159719,6.13365,1,1
,1,0.997706,0.157913,6.30359,1,1
,2,0.996607,0.196337,5.05878,1,1
,2,0.991833,0.869863,1.1309,1,1
,2,0.995133,0.212309,4.66438,1,1
,2,0.994973,0.200031,4.94908,1,1
,2,0.949184,0.179375,5.02272,1,1
,2,0.997689,0.254862,3.90558,1,1
,2,0.979549,0.249672,3.84311,1,1
,2,0.997215,0.481004,2.06742,1,1
,2,0.988687,0.419778,2.32862,1,1
,3,0.973331,0.920539,1.02915,1,1
,3,0.984756,0.402323,2.41036,1,1
,3,0.993939,0.414605,2.38279,1,1
,3,0.999742,0.26077,3.83282,1,1
,3,0.982684,0.235646,4.09796,1,1
LC3-puncta_MOConly_batch-seg_3Jun21_012b_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_basal_60X_002_crop.nd2,1,0.99876,0.265985,3.75029,1,1
,1,0.967226,1.02719,0.910761,1,1
,2,0.982741,0.185647,5.20224,1,1
,2,0.989184,0.172162,5.68352,1,1
,2,0.993127,0.172309,5.72403,1,1
,3,0.99737,0.236563,4.205,1,1
,3,0.891956,0.0530642,14.9929,1,1
,4,0.984716,0.202981,4.77713,1,1
,4,0.984392,0.350991,2.76083,1,1
,4,0.997459,0.211247,4.70978,1,1
,4,0.99377,0.143837,6.86595,1,1
,4,0.965902,0.122454,7.61894,1,1
LC3-puncta_MOConly_batch-seg_3Jun21_012b_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_basal_60X_003_crop.nd2,1,0.985849,0.293468,3.31177,1,1
,1,0.976274,0.349797,2.72475,1,1
,1,0.990046,0.907458,1.08015,1,1
,1,0.98889,0.217753,4.49089,1,1
,1,0.989458,0.394058,2.48448,1,1
,1,0.953201,0.261046,3.48057,1,1
,1,0.991676,0.70794,1.38913,1,1
,2,0.974902,0.475504,1.99879,1,1
,2,0.971723,0.609061,1.55033,1,1
,2,0.995454,0.322955,3.06832,1,1
,2,0.911036,0.0857154,9.68306,1,1
,2,0.943734,0.264378,3.36879,1,1
,2,0.963163,0.955532,0.970855,1,1
,2,0.947563,0.0786248,11.4197,1,1
,2,0.986179,0.929794,1.04598,1,1
,2,0.961739,0.124563,7.4255,1,1
,3,1,0.488506,2.04706,1,1
,3,0.998756,0.276442,3.60841,1,1
,3,0.988548,0.742063,1.31691,1,1
,3,0.999973,0.265557,3.76547,1,1
,3,0.997956,0.30935,3.21939,1,1
,3,0.990625,0.527388,1.86075,1,1
,3,0.994198,0.160171,6.17108,1,1
,3,0.99413,0.199434,4.9555,1,1
,4,1,1.35038,0.74053,1,1
,4,0.989091,0.17537,5.57849,1,1
,4,0.98488,0.890895,1.08878,1,1
,4,0.993686,0.879172,1.12311,1,1
,4,0.993239,0.330393,2.98591,1,1
,4,0.996515,0.202995,4.89195,1,1
,4,0.990896,0.416336,2.35837,1,1
,4,0.999078,0.287199,3.47549,1,1
,4,0.95379,0.485276,1.87463,1,1
,4,0.769465,0.316074,1.87322,1,1
,4,0.983573,0.369002,2.62171,1,1
,4,0.987668,0.1986,4.91181,1,1
,4,0.989665,0.284421,3.44361,1,1
,4,0.995139,0.289337,3.42266,1,1
,4,0.983283,0.30613,3.15829,1,1
,4,0.990809,0.190281,5.15923,1,1
LC3-puncta_MOConly_batch-seg_3Jun21_012b_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_basal_60X_004.nd2,1,1,0.20221,4.94536,1,1
,1,0.974021,0.357475,2.65394,1,1
,1,0.992872,0.356307,2.7667,1,1
,1,1,0.458115,2.18286,1,1
,2,0.979476,0.280588,3.41915,1,1
,2,0.920776,0.195345,4.34016,1,1
,2,0.966669,0.220867,4.23081,1,1
,2,0.993245,0.453642,2.1747,1,1
,2,0.986539,0.363225,2.67949,1,1
,2,0.992048,0.261813,3.75902,1,1
,2,0.994417,0.234555,4.21592,1,1
,2,0.99546,0.351827,2.81656,1,1
,2,0.984098,0.23098,4.19278,1,1
,2,0.996259,0.863136,1.14991,1,1
,2,0.985854,0.425653,2.28333,1,1
,2,0.983634,0.243522,3.97309,1,1
,2,0.983867,0.605189,1.59949,1,1
,2,0.993745,0.557298,1.772,1,1
,2,0.993373,0.305267,3.23255,1,1
,2,0.994698,0.266814,3.70829,1,1
,2,0.986199,0.628166,1.5483,1,1
,2,0.999069,0.925489,1.0785,1,1
,2,0.979754,0.299826,3.20158,1,1
,2,0.987573,0.57952,1.68295,1,1
,2,0.909916,0.177186,4.67275,1,1
