Filename,LC3CellID,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2
,2,0.92363,0.155842,5.47408,1,1
,2,0.989284,0.175139,5.58804,1,1
,2,0.961498,0.164662,5.6144,1,1
,2,0.970665,0.407211,2.31377,1,1
,2,0.998758,0.343684,2.90242,1,1
,2,0.993932,0.268128,3.68445,1,1
,2,0.982834,0.16779,5.75697,1,1
,2,0.972985,0.520435,1.81906,1,1
,2,0.957544,0.268901,3.40977,1,1
,2,0.989787,0.509631,1.92233,1,1
,2,0.977395,0.119105,8.02066,1,1
,2,0.999261,0.153392,6.5096,1,1
LC3-puncta_MOConly_batch-seg_3Jun21_012s_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_starved_60X_004_crop.nd2,1,0.974896,0.192244,4.94384,1,1
,1,0.994868,0.192123,5.15171,1,1
,1,0.995254,0.170001,5.82662,1,1
,1,0.983404,0.163628,5.91024,1,1
,1,0.985781,0.177529,5.47383,1,1
,1,0.98668,0.772344,1.2605,1,1
,1,0.983202,0.387121,2.49712,1,1
,1,0.990494,0.562366,1.74456,1,1
,1,0.965287,0.488412,1.90777,1,1
,1,0.997538,0.217532,4.57443,1,1
,1,0.87043,0.211179,3.58771,1,1
,1,0.985604,0.218382,4.44824,1,1
,1,1,0.537897,1.85909,1,1
,1,0.989256,0.570673,1.71486,1,1
,1,0.977586,0.365625,2.61381,1,1
,1,0.981644,0.320648,3.00524,1,1
,1,0.993092,0.531004,1.8573,1,1
,1,1,0.875761,1.14186,1,1
,1,0.967776,0.300531,3.11646,1,1
,1,0.938968,0.316941,2.78178,1,1
,1,0.964438,0.182033,5.10972,1,1
,1,0.980583,0.218721,4.3962,1,1
,1,1,0.156213,6.40152,1,1
,1,0.97499,0.664156,1.4313,1,1
,1,0.930548,0.210235,4.11881,1,1
,1,0.985164,0.204297,4.75068,1,1
,1,0.996359,0.212087,4.68078,1,1
,1,0.967012,0.780522,1.19806,1,1
,1,0.978442,0.293419,3.26274,1,1
,1,1,0.171288,5.83813,1,1
,1,0.990399,0.175092,5.60213,1,1
,1,0.988142,0.221814,4.40201,1,1
,1,0.988496,0.200936,4.86285,1,1
,1,0.987181,0.284229,3.42866,1,1
,1,1,0.190769,5.24194,1,1
,1,0.99567,0.152442,6.50317,1,1
,2,0.999994,0.169115,5.91308,1,1
,2,0.995408,0.197191,5.02475,1,1
,2,0.997688,0.194609,5.11478,1,1
