Filename,LC3CellID,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2
LC3-puncta_MOConly_batch-seg_3Jun21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_002_crop.nd2,1,0.992954,0.424207,2.32423,1,1
,1,0.993303,0.254643,3.87465,1,1
,1,0.98767,0.157413,6.19705,1,1
,1,1,0.450602,2.21925,1,1
,1,0.957857,0.148999,6.15769,1,1
,1,0.946003,0.0886091,10.0997,1,1
,1,0.9809,0.390758,2.4623,1,1
,1,0.987601,0.51793,1.88318,1,1
,1,0.956435,0.453852,2.01556,1,1
,1,1,0.72445,1.38036,1,1
,1,0.968662,0.457505,2.05092,1,1
,1,0.970089,0.497049,1.89332,1,1
,1,0.982102,0.450358,2.14169,1,1
,1,0.999234,0.49653,2.0109,1,1
,1,0.992844,0.244916,4.02481,1,1
,1,1,0.281046,3.55814,1,1
,1,0.977522,0.144234,6.62501,1,1
LC3-puncta_MOConly_batch-seg_3Jun21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_003_crop.nd2,1,1,0.245383,4.07527,1,1
,1,0.998108,0.185893,5.3591,1,1
,1,0.9917,0.334678,2.93855,1,1
,1,1,0.296206,3.37603,1,1
,1,1,0.194328,5.14595,1,1
,1,1,0.200382,4.99048,1,1
,1,0.997617,0.174031,5.71875,1,1
,1,0.98345,0.297808,3.24764,1,1
,1,0.992633,0.269289,3.65897,1,1
,1,0.975876,0.247335,3.85038,1,1
,1,0.990303,0.304005,3.22593,1,1
,1,1,0.892497,1.12045,1,1
,1,0.9797,0.299593,3.20372,1,1
,1,0.988577,0.140019,6.97968,1,1
,1,0.982103,0.154225,6.25403,1,1
LC3-puncta_MOConly_batch-seg_3Jun21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_005.nd2,1,1,0.176471,5.66667,1,1
,1,0.976328,0.152412,6.25421,1,1
,1,0.997175,0.271578,3.6614,1,1
,2,0.982229,0.456691,2.11253,1,1
,2,1,0.149573,6.68571,1,1
,2,0.99448,0.20651,4.78906,1,1
,2,0.998455,0.188016,5.30227,1,1
,2,0.990562,0.450119,2.1799,1,1
,2,0.904074,0.299187,2.73191,1,1
,2,0.95491,0.504554,1.80725,1,1
,2,0.993611,0.164256,6.0105,1,1
,2,0.889304,0.253139,3.12422,1,1
,2,1,0.3717,2.69034,1,1
,2,0.98622,0.302292,3.21752,1,1
,2,0.988024,0.327935,2.97678,1,1
,2,0.996647,0.382383,2.59767,1,1
,2,0.997879,0.237839,4.1867,1,1
,2,0.994745,0.415997,2.37866,1,1
,2,0.988407,0.204167,4.78505,1,1
,2,1,0.219222,4.56158,1,1
LC3-puncta_MOConly_batch-seg_3Jun21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_006_crop.nd2,1,0.964764,0.258443,3.60144,1,1
LC3-puncta_MOConly_batch-seg_3Jun21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_007.nd2,1,0.994478,0.148366,6.66586,1,1
,1,0.994699,0.709479,1.39458,1,1
,1,0.981352,0.205039,4.69692,1,1
,1,0.998401,0.190507,5.23237,1,1
,1,0.982823,0.364946,2.64681,1,1
,1,0.976746,0.124287,7.67607,1,1
,1,0.953263,0.102698,8.8484,1,1
,1,0.929947,0.083621,10.3419,1,1
,2,0.993225,0.153123,6.44249,1,1
,2,0.9994,0.979604,1.0196,1,1
,2,0.985896,0.131804,7.37449,1,1
,2,0.98833,0.23868,4.09249,1,1
LC3-puncta_MOConly_batch-seg_3Jun21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_009.nd2,1,0.997887,0.167292,5.95234,1,1
,1,1,0.226638,4.41232,1,1
,1,0.978885,0.59375,1.61384,1,1
,2,1,0.15,6.66667,1,1
,2,0.983286,0.208155,4.64485,1,1
,2,0.959924,0.768687,1.19874,1,1
,2,0.995879,1.1838,0.837791,1,1
LC3-puncta_MOConly_batch-seg_3Jun21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_010.nd2,1,0.99457,0.172429,5.73669,1,1
,1,0.981373,0.429228,2.24378,1,1
,2,0.915858,0.30872,2.71701,1,1
,2,0.992982,0.596139,1.654,1,1
,2,0.99032,0.132883,7.38041,1,1
,2,0.991245,0.873975,1.12425,1,1
,2,0.989816,0.127446,7.68748,1,1
LC3-puncta_MOConly_batch-seg_3Jun21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_012.nd2,1,0.975888,0.117343,8.11602,1,1
,1,0.999561,0.12749,7.83689,1,1
,1,0.98523,0.122068,7.95195,1,1
,1,0.983925,0.122733,7.88794,1,1
,1,0.980034,0.136456,7.03863,1,1
,1,0.984562,0.402234,2.40995,1,1
,1,0.987499,0.175945,5.54237,1,1
,1,0.996291,0.188468,5.26666,1,1
,1,0.990856,0.247631,3.96475,1,1
