Filename,LC3CellID,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2
,2,0.978208,0.334156,2.86361,1,1
,2,0.989759,0.251693,3.89214,1,1
,2,0.990498,0.600784,1.63301,1,1
,2,0.980137,0.746039,1.28769,1,1
,2,0.990482,1.41046,0.695557,1,1
,2,0.935965,0.870998,1.00578,1,1
,2,0.989165,0.83373,1.17358,1,1
,2,0.993108,1.15671,0.852646,1,1
,2,0.994247,0.698989,1.41423,1,1
,2,0.98024,1.18516,0.810748,1,1
,2,0.976832,1.22839,0.776791,1,1
,2,0.987826,0.455087,2.14421,1,1
,2,0.954342,1.05175,0.865952,1,1
,2,0.992334,1.79412,0.548864,1,1
,2,0.974211,1.22079,0.777438,1,1
,2,0.959871,0.981944,0.938295,1,1
,2,0.973417,1.70563,0.555538,1,1
,2,0.951607,0.838648,1.07978,1,1
,2,0.989924,1.55988,0.628223,1,1
,2,0.992744,1.72278,0.572062,1,1
,2,0.979046,0.594155,1.61327,1,1
,2,0.992993,0.851796,1.1576,1,1
,2,0.982583,0.745103,1.29575,1,1
,2,0.998535,1.61494,0.617404,1,1
,2,0.964317,0.644479,1.44288,1,1
,2,0.99885,1.42476,0.700259,1,1
,2,0.964507,0.65795,1.4139,1,1
,2,0.975956,0.891553,1.06835,1,1
,2,0.982392,0.770511,1.25254,1,1
,2,0.991559,1.15656,0.8501,1,1
,2,0.916589,0.582271,1.44286,1,1
,2,0.975138,1.23098,0.772467,1,1
,2,0.996353,0.846803,1.17231,1,1
,2,0.984856,0.631355,1.53628,1,1
,2,0.979161,0.908023,1.05587,1,1
,2,0.995563,1.13554,0.872838,1,1
,2,0.990444,0.62034,1.58136,1,1
,2,0.99576,0.780195,1.27089,1,1
,2,0.98848,0.677551,1.44209,1,1
,2,0.970959,1.48375,0.635389,1,1
,2,0.995608,1.0278,0.964427,1,1
,2,0.995415,0.278025,3.56389,1,1
,2,0.995787,1.5979,0.620558,1,1
,2,0.979008,0.943784,1.01555,1,1
,2,0.988101,1.60016,0.610153,1,1
,2,0.996481,1.31642,0.754297,1,1
,2,0.975306,1.22041,0.77943,1,1
,2,0.99826,1.80974,0.550643,1,1
,2,0.997336,1.67678,0.593209,1,1
,2,0.967432,1.33473,0.701209,1,1
,2,0.996252,1.71808,0.57769,1,1
,2,0.960286,0.718133,1.28409,1,1
,2,0.997704,0.581076,1.71305,1,1
,2,0.992573,1.34885,0.7304,1,1
,2,0.926761,0.661801,1.2978,1,1
,2,0.999767,0.465033,2.14938,1,1
,2,0.988452,1.54913,0.630701,1,1
,2,0.964815,0.62515,1.48903,1,1
,2,0.990641,1.17691,0.833849,1,1
,2,0.934726,0.823681,1.06074,1,1
,2,0.996268,0.948378,1.04658,1,1
,2,0.996998,0.866676,1.14692,1,1
,2,0.970537,0.572969,1.64397,1,1
,2,1,1.04614,0.955895,1,1
,2,0.998972,0.487984,2.04504,1,1
,2,0.934929,0.530104,1.64891,1,1
,2,0.999823,1.28299,0.779153,1,1
,2,0.992585,0.342727,2.87466,1,1
,2,0.998702,1.96902,0.506549,1,1
,2,1,1.70012,0.588195,1,1
,2,0.981674,0.786347,1.22552,1,1
,2,0.995861,1.00067,0.991076,1,1
,2,0.975597,0.784585,1.21311,1,1
,2,0.998851,0.750535,1.32932,1,1
,2,0.995033,1.56177,0.633952,1,1
,2,0.975152,1.0464,0.908758,1,1
,2,1,0.365488,2.73607,1,1
,2,0.985274,0.279278,3.47599,1,1
,2,0.980977,1.21125,0.794485,1,1
,2,0.980214,0.481381,1.99597,1,1
,2,0.997146,1.33104,0.74701,1,1
,2,0.982767,1.10768,0.871937,1,1
,2,0.984263,1.33833,0.723865,1,1
,2,0.990746,0.542959,1.80783,1,1
,2,0.988951,1.63367,0.598666,1,1
,2,0.987306,1.09371,0.891255,1,1
,2,0.996847,1.49857,0.663101,1,1
,2,0.969512,0.60304,1.55869,1,1
,2,1,1.00876,0.991313,1,1
,2,0.991967,0.548627,1.79357,1,1
,2,0.996271,1.535,0.646617,1,1
,2,0.974188,1.18579,0.800349,1,1
,2,0.997357,1.304,0.762819,1,1
,2,1,1.29979,0.769354,1,1
,2,0.984382,0.992972,0.975867,1,1
,2,0.982973,1.13253,0.853165,1,1
,2,0.996332,1.79951,0.551636,1,1
,2,0.987063,0.612725,1.5901,1,1
,2,0.993381,1.65317,0.596916,1,1
,2,0.983583,0.937602,1.03182,1,1
,2,0.998136,1.40888,0.707138,1,1
,2,0.971454,1.04252,0.905234,1,1
,2,0.993834,1.78491,0.553366,1,1
,2,1,0.903738,1.10651,1,1
,2,0.942566,0.856981,1.0367,1,1
,2,0.980196,1.40464,0.684008,1,1
,2,0.986655,0.854394,1.13939,1,1
,2,1,1.4497,0.689799,1,1
,2,0.999444,1.23591,0.808218,1,1
,2,0.993126,1.95352,0.504883,1,1
,2,0.992217,1.62524,0.605753,1,1
,2,0.921337,0.918565,0.924118,1,1
LC3-puncta_MOConly_batch-seg_3Jun21_010b_000_AP4E1-A_NSW3010_LC3-488_LAMP-594_basal_60X_007.nd2,1,0.947298,0.122385,7.33238,1,1
,1,0.983872,0.255266,3.79215,1,1
,1,0.959181,0.211883,4.34216,1,1
,1,0.931727,0.174673,4.96993,1,1
,1,0.931972,0.18297,4.74707,1,1
,1,0.983177,0.196881,4.90975,1,1
,1,0.979042,0.185611,5.16415,1,1
,1,0.99875,0.465067,2.14486,1,1
,1,0.979986,0.806813,1.19033,1,1
,1,0.990462,0.858753,1.14237,1,1
,1,0.972915,0.489756,1.93273,1,1
,1,0.980016,0.268002,3.58367,1,1
,1,0.881783,0.312938,2.48465,1,1
,1,0.928872,0.634663,1.35947,1,1
,1,0.997301,0.599746,1.65839,1,1
,1,0.977363,0.319359,2.99111,1,1
,1,0.968398,0.445429,2.10537,1,1
,1,0.991851,0.435488,2.259,1,1
,1,0.979906,0.274449,3.49871,1,1
,1,1,0.779221,1.28333,1,1
,1,0.980836,0.536797,1.79218,1,1
,1,0.975523,0.324772,2.93019,1,1
,1,0.986493,0.339069,2.87012,1,1
