Filename,LC3CellID,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2
LC3-puncta_MOConly_batch-seg_3Jun21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_001_crop.nd2,1,0.988604,0.14535,6.72403,1,1
,1,0.985949,0.170386,5.70526,1,1
,1,0.974711,0.327649,2.89963,1,1
,1,0.968236,0.138919,6.7484,1,1
,1,0.953793,0.26619,3.41756,1,1
,1,0.962119,0.270974,3.41609,1,1
,1,0.951877,0.237304,3.81818,1,1
,1,0.989391,0.617651,1.58487,1,1
,1,0.981324,0.629883,1.52885,1,1
,1,0.969613,0.266909,3.52237,1,1
,1,0.986333,0.394987,2.463,1,1
,1,0.991273,0.248064,3.96116,1,1
,1,0.983766,0.251297,3.85121,1,1
,1,0.925885,0.198527,4.31813,1,1
,1,0.992041,0.269901,3.64632,1,1
,1,1,0.153646,6.50847,1,1
,1,0.97757,0.296709,3.22081,1,1
,1,0.971983,0.191544,4.93229,1,1
,1,0.979938,0.135068,7.1096,1,1
,1,0.99992,0.312755,3.19688,1,1
,1,0.979765,0.313585,3.06118,1,1
,1,0.999846,0.162418,6.15504,1,1
,1,0.991291,0.144877,6.7827,1,1
,1,0.989702,0.239962,4.08194,1,1
,2,0.993588,0.130423,7.56932,1,1
,2,0.98813,0.119621,8.16243,1,1
,2,0.994282,0.152357,6.4887,1,1
,2,0.993834,0.130267,7.58219,1,1
,2,0.945064,0.0913569,9.77644,1,1
,2,1,0.156716,6.38095,1,1
,2,0.997834,0.297486,3.34696,1,1
,2,0.99036,0.205778,4.76636,1,1
,2,0.972334,0.187547,5.04105,1,1
,2,0.986488,0.178267,5.45899,1,1
,2,0.984636,0.176028,5.50769,1,1
,2,0.999996,0.475,2.10525,1,1
,2,0.976668,0.476832,2.00045,1,1
,2,0.995071,0.379822,2.60692,1,1
,2,1,0.465882,2.14646,1,1
,2,0.982291,0.265588,3.63305,1,1
,2,1,0.524419,1.90687,1,1
,2,0.995634,0.165002,6.00774,1,1
,2,0.980578,0.342616,2.80644,1,1
,2,0.961433,0.312619,2.9568,1,1
,2,0.993112,0.13383,7.36962,1,1
,3,0.988649,0.173102,5.64654,1,1
,3,0.985465,0.323328,3.00358,1,1
,3,0.985747,0.222889,4.35956,1,1
,3,0.994945,0.316121,3.13145,1,1
,3,0.949895,0.13897,6.49276,1,1
,3,1,0.151277,6.61039,1,1
,3,0.873188,0.101669,7.49943,1,1
,3,0.910205,0.0558355,14.8378,1,1
,3,0.957911,0.203961,4.49886,1,1
,3,0.953673,0.176243,5.16044,1,1
,3,0.981404,0.126619,7.60669,1,1
,3,1,0.481728,2.07586,1,1
,3,1,0.546201,1.83083,1,1
,3,0.999449,0.209537,4.76716,1,1
,3,1,0.725225,1.37888,1,1
,3,0.974285,0.407533,2.32922,1,1
,3,0.97944,0.262153,3.65933,1,1
,3,0.99042,0.693999,1.41345,1,1
,3,0.976433,0.190666,5.00049,1,1
,3,0.965787,0.343753,2.71342,1,1
,3,0.999613,0.355916,2.80748,1,1
,3,0.943777,0.30543,2.91627,1,1
,3,0.9767,0.125354,7.61,1,1
,3,0.964042,0.107114,8.67652,1,1
,4,0.972432,0.148662,6.36092,1,1
,4,0.94981,0.198958,4.53431,1,1
,4,0.997401,0.273894,3.6321,1,1
,4,0.982528,0.246311,3.91928,1,1
,4,0.982313,0.168026,5.74279,1,1
,4,0.979068,0.117226,8.17717,1,1
,4,1,0.155235,6.44186,1,1
,4,0.989377,0.17941,5.45605,1,1
,4,0.993771,0.387439,2.54899,1,1
,4,1,0.664792,1.50423,1,1
,4,0.900721,0.36353,2.23173,1,1
,4,1,0.877763,1.13926,1,1
,4,0.965322,0.428368,2.17534,1,1
,4,0.959353,0.556616,1.65349,1,1
,4,0.939779,0.49249,1.7933,1,1
,4,0.991069,0.726258,1.35244,1,1
,4,0.964258,0.314272,2.95857,1,1
LC3-puncta_MOConly_batch-seg_3Jun21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_002_crop.nd2,1,0.976888,0.122915,7.764,1,1
,1,0.975822,0.167941,5.67003,1,1
,1,0.982892,0.507377,1.90406,1,1
,1,0.967129,0.0970385,9.63884,1,1
,1,0.996369,0.184804,5.37191,1,1
,1,0.982037,0.224389,4.29788,1,1
,1,0.951139,0.157926,5.72841,1,1
,1,0.94477,0.146803,6.08019,1,1
,1,0.976216,0.499923,1.90629,1,1
,1,0.979239,0.471552,2.03352,1,1
,1,0.994984,0.196006,5.05085,1,1
,1,0.996766,0.174619,5.68978,1,1
,1,0.978379,0.207891,4.60447,1,1
,1,0.996315,0.262684,3.77885,1,1
,1,0.980988,0.217035,4.43403,1,1
,1,0.990659,0.153853,6.37886,1,1
,1,0.984522,0.361985,2.67769,1,1
,1,0.958449,0.183785,4.99835,1,1
,1,0.919379,0.169328,4.99184,1,1
,1,0.915348,0.0944686,8.8692,1,1
,1,0.979455,0.168482,5.69397,1,1
,1,0.928811,0.143229,6.02317,1,1
,1,0.896562,0.152465,5.27219,1,1
,1,0.952944,0.104373,8.70052,1,1
,1,0.883724,0.121887,6.4073,1,1
,1,0.993399,0.284441,3.4694,1,1
,1,0.991878,0.333809,2.94726,1,1
,1,0.934879,0.241468,3.61953,1,1
