Filename,LC3CellID,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2
LC3-puncta_MOConly_batch-seg_3Jun21_010s_000_AP4E1-A_NSW3010_LC3-488_LAMP-594_starved_60X_001.nd2,1,0.896142,0.10916,7.3568,1,1
,1,0.99127,0.157626,6.23383,1,1
,1,0.962076,0.193714,4.77813,1,1
,1,0.99976,0.189227,5.28214,1,1
,1,0.976278,0.163566,5.82713,1,1
,1,0.966872,0.469825,1.98977,1,1
,1,0.972192,0.212099,4.45621,1,1
,1,0.971079,0.613359,1.53743,1,1
,1,0.994557,0.152276,6.49575,1,1
,1,0.979055,0.589465,1.62613,1,1
,1,0.93816,0.710279,1.23915,1,1
,1,0.981891,0.417033,2.31183,1,1
,1,0.960161,0.477103,1.93231,1,1
,1,0.995763,0.247201,4.01109,1,1
,1,0.986816,0.460539,2.11449,1,1
,1,0.999904,0.281818,3.54771,1,1
,1,0.945418,0.372229,2.40125,1,1
,1,0.985505,0.563618,1.72319,1,1
,1,0.976337,0.650661,1.46502,1,1
,1,0.966042,0.641539,1.45469,1,1
,1,0.996611,0.562089,1.76704,1,1
,1,0.985268,0.65767,1.47605,1,1
,1,0.989357,0.145379,6.73293,1,1
,1,0.977798,0.317834,3.00814,1,1
,1,0.969434,0.78949,1.19039,1,1
,1,0.993196,1.30729,0.754566,1,1
,1,0.991298,0.599411,1.6394,1,1
,1,0.91337,0.137266,6.07758,1,1
,1,0.921401,0.311623,2.72438,1,1
,1,0.962819,0.340363,2.72362,1,1
,1,0.995574,0.316184,3.13478,1,1
,1,0.98752,0.383843,2.54061,1,1
,1,0.914744,0.385404,2.17111,1,1
,1,0.981508,0.585607,1.64506,1,1
,1,0.985624,0.645229,1.5056,1,1
,1,0.99242,0.244582,4.02686,1,1
,1,1,0.839662,1.19095,1,1
,1,0.993391,0.579297,1.70349,1,1
,1,0.957905,0.503384,1.82283,1,1
,1,0.957996,0.723043,1.2693,1,1
,1,0.978766,0.588049,1.62909,1,1
,1,0.991336,0.913577,1.07571,1,1
,1,0.990773,0.756846,1.297,1,1
,1,0.995886,0.838835,1.18234,1,1
,1,0.969173,0.712295,1.31869,1,1
,1,1,0.807193,1.23886,1,1
,1,0.999589,0.683989,1.46081,1,1
,1,1,0.664009,1.506,1,1
,1,0.937428,0.284337,3.0906,1,1
,1,0.958856,0.194929,4.71661,1,1
,1,0.969484,0.525754,1.78772,1,1
,1,0.960121,0.545996,1.68835,1,1
,1,0.885391,0.126092,6.21702,1,1
,1,0.973403,0.311632,3.04049,1,1
,1,0.986205,0.288919,3.36634,1,1
,1,0.991268,0.432642,2.27119,1,1
,1,0.990909,0.873022,1.12472,1,1
,1,0.989846,1.02652,0.954486,1,1
,1,0.974505,0.505099,1.88015,1,1
,1,0.988502,0.681775,1.43322,1,1
,1,0.950556,0.377639,2.39265,1,1
,1,0.961589,0.778589,1.1876,1,1
,1,0.994968,0.897872,1.10256,1,1
,1,0.984655,0.861418,1.12552,1,1
,1,0.995687,0.453465,2.18626,1,1
,1,0.985653,0.415312,2.33923,1,1
,1,0.989066,0.525754,1.86066,1,1
,1,0.960692,0.552368,1.67086,1,1
,1,0.977388,0.916104,1.04277,1,1
,1,0.984986,0.736122,1.31798,1,1
,1,0.997255,0.47482,2.09451,1,1
,1,0.929625,0.182355,4.73913,1,1
,1,0.981911,0.378595,2.54665,1,1
,1,0.94396,0.278441,3.20017,1,1
,1,0.946547,0.214228,4.18224,1,1
,1,0.924059,0.272572,3.1327,1,1
,1,0.970262,0.472388,1.99287,1,1
,1,0.964763,0.371227,2.50727,1,1
,1,0.967176,0.287573,3.25284,1,1
,1,0.934167,0.268153,3.25437,1,1
,1,0.976042,0.568144,1.67679,1,1
,1,0.988255,0.592463,1.64846,1,1
,1,0.986447,0.41714,2.33274,1,1
,1,0.985427,0.483286,2.0093,1,1
,1,0.986415,0.732126,1.32903,1,1
,1,0.966949,0.419983,2.22626,1,1
,1,0.957815,0.351643,2.60892,1,1
,1,0.975231,0.501435,1.89671,1,1
,1,0.981192,0.395144,2.43642,1,1
,1,0.96965,0.388105,2.42259,1,1
,1,0.987669,0.498829,1.95556,1,1
,1,0.889829,0.218083,3.6307,1,1
,1,0.996831,0.203148,4.89137,1,1
,1,0.974642,0.139788,6.79551,1,1
,1,0.958523,0.238743,3.84835,1,1
,1,0.96132,0.85999,1.07459,1,1
,1,0.960281,0.555377,1.66038,1,1
,1,0.983664,0.20228,4.78345,1,1
,1,0.988371,0.341315,2.8621,1,1
,1,0.994618,0.298999,3.30859,1,1
,1,1,0.329381,3.036,1,1
,1,0.976506,0.324389,2.93957,1,1
,1,0.953355,0.163753,5.55033,1,1
,1,0.961678,0.273078,3.38667,1,1
,1,0.985647,0.312711,3.1067,1,1
,1,0.983363,0.44201,2.18774,1,1
,1,0.979307,0.325606,2.94541,1,1
,1,0.974473,0.13808,6.87717,1,1
,1,0.99806,0.339318,2.93567,1,1
,1,0.961563,0.374984,2.46571,1,1
,1,0.978003,0.187444,5.10282,1,1
,2,0.987604,0.158171,6.16651,1,1
,2,0.983941,0.295231,3.27927,1,1
,2,0.996247,0.177063,5.60539,1,1
,2,0.952882,0.340689,2.66514,1,1
,2,0.961864,0.189397,4.88489,1,1
,2,0.971006,0.326004,2.89215,1,1
,2,0.940669,0.270582,3.2702,1,1
,2,0.998664,0.15188,6.56655,1,1
,2,1,0.413838,2.4164,1,1
,2,0.961932,0.355284,2.60443,1,1
,2,0.964631,0.18388,5.06043,1,1
,2,1,0.274905,3.63761,1,1
,2,0.979872,0.343788,2.79285,1,1
,2,0.975859,0.37933,2.51048,1,1
,2,0.950344,0.107066,8.4355,1,1
,2,0.994529,0.210304,4.70314,1,1
,2,0.955561,0.180072,5.07074,1,1
,2,0.972468,0.269497,3.50911,1,1
,2,0.953145,0.248495,3.65595,1,1
,2,0.951369,0.326637,2.77098,1,1
,2,0.955561,0.900636,1.01383,1,1
,2,0.934794,0.365669,2.38971,1,1
,2,0.953111,0.246065,3.69179,1,1
,2,0.981819,0.493244,1.95434,1,1
,2,0.9921,0.284931,3.45439,1,1
,2,0.986578,0.326977,2.97677,1,1
,2,0.942005,0.198442,4.4717,1,1
,2,0.981294,0.33364,2.88616,1,1
,2,0.940318,0.527607,1.67587,1,1
,2,0.984533,0.459549,2.10926,1,1
,2,0.982351,0.300189,3.21468,1,1
,2,0.963097,0.403592,2.29825,1,1
,2,0.962648,0.403111,2.29885,1,1
,2,0.996663,0.851448,1.16664,1,1
,2,0.994928,0.371753,2.66274,1,1
,2,0.967161,0.327232,2.85853,1,1
,2,0.968901,1.02241,0.918191,1,1
,2,0.985956,0.540736,1.79775,1,1
,2,0.909461,0.230681,3.58556,1,1
,2,0.992617,0.224882,4.38136,1,1
,2,0.960767,0.385938,2.39176,1,1
,2,0.959198,0.845876,1.0877,1,1
,2,0.918044,0.387857,2.17298,1,1
,2,0.977003,0.355279,2.68672,1,1
,2,0.954162,0.186532,4.88079,1,1
,2,0.983263,0.270194,3.57819,1,1
,2,0.983817,0.489658,1.97667,1,1
,2,0.987624,0.216304,4.5094,1,1
,2,0.987648,0.937643,1.04032,1,1
,2,1,0.508176,1.96782,1,1
,2,0.997001,0.583607,1.70322,1,1
,2,0.971995,1.03857,0.909689,1,1
,2,1,0.501916,1.99237,1,1
,2,0.993878,1.60061,0.617134,1,1
,2,0.991334,0.970799,1.0123,1,1
,2,0.995297,0.738272,1.3418,1,1
,2,0.984851,0.716385,1.35393,1,1
,2,0.96606,0.332972,2.80285,1,1
,2,0.975974,0.533423,1.78568,1,1
,2,0.981084,0.874752,1.10034,1,1
,2,1,0.558763,1.78967,1,1
,2,0.937741,0.280005,3.14051,1,1
,2,0.995088,0.651928,1.51888,1,1
,2,0.994912,0.62885,1.57406,1,1
,2,1,0.848889,1.17801,1,1
,2,0.9922,0.748374,1.31547,1,1
,2,0.959084,0.725635,1.26764,1,1
,2,0.971846,0.186728,5.05806,1,1
,2,0.968898,0.134192,6.99567,1,1
,2,0.992371,0.953804,1.0325,1,1
,2,0.983733,0.379396,2.55072,1,1
,2,0.994337,0.964137,1.02548,1,1
,2,0.991953,0.712351,1.3813,1,1
,2,0.970237,0.438193,2.14828,1,1
,2,0.987241,0.435188,2.23959,1,1
,2,0.944154,0.401727,2.21899,1,1
,2,0.939055,0.218892,4.02859,1,1
,2,0.960185,0.227193,4.05803,1,1
,2,0.985893,0.464663,2.09181,1,1
,2,1,0.623153,1.60474,1,1
,2,0.995758,0.262433,3.77823,1,1
,2,0.994159,0.340633,2.90151,1,1
,2,0.988391,0.424771,2.29987,1,1
,2,0.995346,0.159931,6.19463,1,1
