Filename,NucleiCount,LC3CellID,LC3PunctaCount,LAMPCellID,LAMPObjCount
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_tepsin-A_NSW3016_488-LC3_594-LAMP_starved_60X_003_crop.nd2,1,1,30,1,46
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_tepsin-A_NSW3016_488-LC3_594-LAMP_starved_60X_004_crop_crop.nd2,1,1,25,1,30
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_tepsin-A_NSW3016_488-LC3_594-LAMP_starved_60X_005_crop.nd2,2,1,4,1,23
,,2,7,2,20
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_tepsin-A_NSW3016_488-LC3_594-LAMP_starved_60X_007.nd2,1,1,41,1,37
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_tepsin-A_NSW3016_488-LC3_594-LAMP_starved_60X_008.nd2,2,1,52,1,48
,,2,71,2,31
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_tepsin-A_NSW3016_488-LC3_594-LAMP_starved_60X_010.nd2,3,1,19,1,29
,,2,19,2,19
,,3,15,3,30
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_tepsin-A_NSW3016_488-LC3_594-LAMP_starved_60X_011.nd2,4,1,16,1,43
,,2,16,2,23
,,3,33,3,42
,,4,30,4,23
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_tepsin-A_NSW3016_488-LC3_594-LAMP_starved_60X_012_crop.nd2,2,1,22,1,41
,,2,29,2,37
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_tepsin-A_NSW3016_488-LC3_594-LAMP_starved_60X_013_crop.nd2,1,1,10,1,44
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_tepsin-A_NSW3016_488-LC3_594-LAMP_starved_60X_014.nd2,4,1,23,1,31
,,2,17,2,35
,,3,2,3,24
,,4,2,4,41
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_tepsin-A_NSW3016_488-LC3_594-LAMP_starved_60X_016_crop.nd2,1,1,20,1,22
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_tepsin-A_NSW3016_488-LC3_594-LAMP_starved_60X_017.nd2,1,1,26,1,25
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_tepsin-A_NSW3016_488-LC3_594-LAMP_starved_60X_018_crop.nd2,1,1,24,1,25
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_tepsin-A_NSW3016_488-LC3_594-LAMP_starved_60X_019_crop.nd2,2,1,4,1,21
,,2,6,2,37
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_tepsin-A_NSW3016_488-LC3_594-LAMP_starved_60X_022_crop.nd2,1,1,37,1,15
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_WT-A_NSW3016_488-LC3_594-LAMP_starved_60X_001.nd2,2,1,15,1,10
,,2,9,2,10
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_WT-A_NSW3016_488-LC3_594-LAMP_starved_60X_002_crop.nd2,2,1,26,1,31
,,2,6,2,20
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_WT-A_NSW3016_488-LC3_594-LAMP_starved_60X_003.nd2,2,1,2,1,13
,,2,6,2,30
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_WT-A_NSW3016_488-LC3_594-LAMP_starved_60X_004_crop.nd2,3,1,14,1,21
,,2,14,2,6
,,3,19,3,9
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_WT-A_NSW3016_488-LC3_594-LAMP_starved_60X_005_crop.nd2,2,1,37,1,12
,,2,46,2,12
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_WT-A_NSW3016_488-LC3_594-LAMP_starved_60X_007.nd2,2,1,16,1,13
,,2,12,2,10
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_WT-A_NSW3016_488-LC3_594-LAMP_starved_60X_008.nd2,3,1,12,1,12
,,2,6,2,20
,,3,17,3,13
