Filename,LC3CellID,LC3PunctaVol,LC3PunctaMeanInt,LC3SumObjInt,LAMPCellID,LAMPObjVol,LAMPMeanObjInt,LAMPSumObjInt
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_AP4E1-A_NSW3010_LC3-488_LAMP-594_basal_60X_001_crop.nd2,1,0.0493572,728.429,5099,1,2.12941,522.268,157725
,1,0.00705104,641,641,1,7.1286,633.319,640286
,1,0.0141021,923,1846,1,0.521777,504.5,37333
,1,0.0211531,691.667,2075,1,0.437164,490.226,30394
,1,0.00705104,794,794,1,0.267939,576.053,21890
,2,0.119868,816.471,13880,1,0.740359,550.01,57751
,2,0.0634593,789.222,7103,1,1.0365,541.741,79636
,2,0.0564083,721,5768,1,0.669848,539.516,51254
,2,0.0141021,732.5,1465,1,1.17047,534.108,88662
,2,0.169225,852.042,20449,1,1.32559,534.229,100435
,2,0.00705104,742,742,1,1.93903,591.447,162648
,2,0.0564083,801.75,6414,1,1.74161,590.206,145781
,2,0.119868,887.235,15083,1,1.0365,550.51,80925
,2,0.183327,858.385,22318,1,1.14227,643.926,104316
,2,0.0423062,703,4218,1,1.37495,623.487,121580
,2,0.839073,987.143,117470,1,1.0365,555.163,81609
,3,0.225633,1428.75,45720,1,3.3845,649.415,311719
,3,0.155123,964.591,21221,1,12.713,606.867,1.09418e+06
,3,0.0987145,736.786,10315,1,1.43136,553.931,112448
,3,4.86521,1793.15,1.23727e+06,1,1.01535,511.75,73692
,3,0.0634593,1377.89,12401,1,2.0589,603.634,176261
,3,0.162174,927.913,21342,1,1.08586,573.065,88252
,3,0.0352552,731.2,3656,1,1.59353,590.588,133473
,3,0.119868,793.824,13495,1,1.17752,628.192,104908
,3,0.352552,844.1,42205,1,0.423062,538.2,32292
,3,0.218582,852.968,26442,1,0.895481,565.465,71814
,3,0.282041,858.45,34338,1,1.24803,587.232,103940
,3,0.0211531,778.667,2336,1,0.54293,548.377,42225
,3,0.0211531,661.333,1984,1,4.41395,623.826,390515
,3,0.0634593,861.222,7751,1,0.493572,625.3,43771
,3,0.0564083,768.25,6146,1,2.89798,643.019,264281
,3,0.0141021,672,1344,1,0.197429,639.786,17914
,3,0.282041,818.625,32745,1,2.51017,631.385,224773
,3,0.00705104,666,666,1,0.592287,534.595,44906
,,,,,1,1.33265,533.825,100893
,,,,,1,3.51847,690.371,344495
,,,,,1,2.3762,543.398,183125
,,,,,1,0.239735,592.324,20139
,,,,,1,16.4289,667.993,1.55642e+06
,,,,,1,2.82747,613.072,245842
,,,,,1,0.648695,578.978,53266
,,,,,1,58.2839,740.68,6.12246e+06
,,,,,1,0.105766,573.867,8608
,,,,,1,0.430113,519.459,31687
,,,,,1,1.40316,570.889,113607
,,,,,1,1.0083,531.497,76004
,,,,,1,0.973043,599.87,82782
,,,,,1,1.76276,539.644,134911
,,,,,1,0.740359,587.79,61718
,,,,,1,0.352552,480.06,24003
,,,,,1,0.571134,525.346,42553
