Filename,LC3CellID,LC3PunctaVol,LC3PunctaMeanInt,LC3SumObjInt,LAMPCellID,LAMPObjVol,LAMPMeanObjInt,LAMPSumObjInt
LC3-puncta_LAMP1_batch-seg_23Feb21_010s_000_AP4E1-A_NSW3010_LC3-488_LAMP-594_starved_60X_001.nd2,1,2.0448,1199.29,347793,1,1.18457,598.804,100599
,1,0.296143,817.119,34319,1,2.54542,539.579,194788
,1,0.824971,965.607,112976,1,1.29739,601.337,110646
,1,0.0141021,724,1448,1,6.81835,711.916,688423
,1,0.47947,813.412,55312,1,1.382,585.842,114825
,1,0.246786,746.657,26133,1,0.761512,538.343,58141
,1,0.394858,938.625,52563,1,0.606389,612.047,52636
,1,0.599338,906.918,77088,1,1.46662,474.346,98664
,1,0.119868,809.941,13769,1,377.696,841.904,4.50974e+07
,1,0.176276,893.16,22329,1,1.6993,728.183,175492
,1,1.21278,913.616,157142,1,3.10246,725.58,319255
,1,0.331399,931.957,43802,1,1.22688,681.379,118560
,1,0.232684,895.606,29555,1,0.486521,534.333,36869
,1,0.0846124,760.167,9122,1,0.874328,562.782,69785
,1,0.232684,937.303,30931,1,0.916635,596.823,77587
,1,0.0141021,770,1540,1,17.5571,730.765,1.8196e+06
,1,0.61344,1189.44,103481,1,0.824971,647.513,75759
,1,0.169225,937.583,22502,1,8.842,715.387,897095
,1,0.267939,1091.26,41468,1,0.839073,618.471,73598
,1,0.451266,1015.39,64985,1,0.937788,506.902,67418
,1,0.0211531,927,2781,1,0.676899,582.813,55950
,1,0.148072,928.333,19495,1,4.7806,670.68,454721
,1,0.162174,888.565,20437,1,0.916635,631.685,82119
,1,0.423062,889.717,53383,1,6.00043,695.928,592235
,1,0.705104,1200.13,120013,1,0.267939,482.842,18348
,1,0.0423062,981.333,5888,1,1.57943,584.469,130921
,1,0.119868,940.235,15984,1,0.557032,537.646,42474
,1,1.21983,1195.24,206777,1,1.07881,640.627,98016
,1,1.12111,1273.96,202559,1,0.895481,627.346,79673
,1,0.88843,857.619,108060,1,0.296143,623.81,26200
,1,0.0493572,752.857,5270,1,0.47947,502.221,34151
,1,0.401909,880.93,50213,1,0.648695,554.609,51024
,1,3.01079,1564.94,668229,1,0.796767,609.142,68833
,1,0.726257,1002.12,103218,1,0.662797,585.266,55015
,1,0.437164,1043.24,64681,1,0.874328,540.435,67014
,1,0.162174,749.043,17228,1,0.775614,653.473,71882
,1,0.00705104,948,948,1,1.54418,577.219,126411
,1,0.112817,1028.5,16456,1,0.620491,712.716,62719
,1,2.09416,1353.24,401913,1,0.726257,573.757,59097
,1,1.19162,1233.36,208437,1,1.29739,567.25,104374
,1,0.486521,1057.29,72953,1,0.68395,577.66,56033
,1,0.549981,1169.54,91224,1,0.839073,594.555,70752
,1,0.169225,1035.63,24855,1,0.733308,523.106,54403
,1,0.0282041,1014,4056,1,6.40234,647.268,587719
,1,0.366654,1199.25,62361,1,3.58898,626.261,318767
,1,0.00705104,1001,1001,1,6.98052,700.377,693373
,1,0.0352552,1060.8,5304,1,0.824971,659.085,77113
,1,0.00705104,878,878,1,0.944839,624.425,83673
,1,0.768563,1008.77,109956,1,0.88843,651.683,82112
,1,0.232684,1049.48,34633,1,1.58648,680.88,153198
,1,0.754461,986.112,105514,1,0.930737,713.553,94189
,1,0.423062,929.483,55769,1,0.592287,689.667,57932
,1,1.33265,1505.41,284523,1,0.282041,545.425,21817
,1,0.606389,948.477,81569,1,1.78391,695.19,175883
,1,0.0211531,746,2238,1,0.366654,577,30004
,1,0.183327,894.038,23245,1,0.712155,606.693,61276
,1,0.0141021,753.5,1507,1,3.01079,600.169,256272
,1,0.0564083,902.75,7222,1,0.549981,565.577,44115
,1,0.155123,910.455,20030,1,1.74161,641.818,158529
,1,0.54293,1098.31,84570,1,1.16342,573.933,94699
,1,0.68395,1274.99,123674,1,5.7889,633.378,520003
,1,0.430113,1141.33,69621,1,4.93572,688.239,481767
,1,0.162174,956.043,21989,1,0.352552,528.3,26415
,1,0.430113,972.902,59347,1,2.33389,660.329,218569
,1,0.0564083,936.75,7494,1,0.824971,593.538,69444
,1,0.225633,1087.09,34787,1,3.06015,685.912,297686
,1,0.0775614,1055.64,11612,1,0.620491,606.261,53351
,1,0.61344,1193.79,103860,1,1.08586,622.994,95941
,1,0.796767,1217.51,137579,1,0.571134,598.543,48482
,1,0.416011,1123.1,66263,1,0.775614,578.627,63649
,1,0.0211531,909.333,2728,1,0.380756,549.981,29699
,1,0.81792,1198.28,139000,1,1.13522,564.466,90879
,1,0.141021,786.7,15734,1,1.04355,589.142,87193
,1,0.874328,1123.47,139310,1,0.387807,493.345,27134
,1,1.25508,1193.99,212530,2,0.500623,561.437,39862
,1,1.14227,1300.02,210603,2,1.19868,573.435,97484
,1,0.606389,1109.93,95454,2,0.507675,506.778,36488
,1,0.310246,1121.41,49342,2,0.387807,482.527,26539
,1,1.26214,882.67,157998,2,7.91831,674.258,757192
,1,0.698052,1160.19,114859,2,0.359603,541.02,27592
,1,0.197429,1053.46,29497,2,0.507675,556.236,40049
,1,0.225633,996.344,31883,2,38.1602,790.606,4.27876e+06
,1,0.0846124,877.667,10532,2,1.10701,639.49,100400
,1,0.197429,1037.04,29037,2,74.2968,781.901,8.23889e+06
,1,0.13397,988.158,18775,2,1.45956,622.696,128898
,1,0.691001,1026.8,100626,2,3.08835,591.534,259092
,1,0.937788,1295.2,172262,2,1.12111,587.899,93476
,1,0.458317,1036.25,67356,2,3.66654,652.829,339471
,1,0.366654,1166.33,60649,2,1.17752,606.647,101310
,1,0.768563,979.046,106716,2,0.775614,541.855,59604
,1,0.119868,1099.59,18693,2,0.655746,591.817,55039
,1,0.535879,994.211,75560,2,0.719206,574.196,58568
,1,0.0493572,842.714,5899,2,5.04149,632.726,452399
,1,0.40896,946.707,54909,2,5.60557,690.488,548938
,1,1.6852,1194.26,285428,2,0.387807,603.127,33172
,1,0.380756,955.759,51611,2,0.648695,622.533,57273
,1,0.867277,982.577,120857,2,1.42431,641.515,129586
,1,0.141021,1068.95,21379,2,0.472419,527.716,35357
,1,0.155123,946.636,20826,2,0.514726,632.712,46188
,1,0.119868,934,15878,2,0.430113,590.066,35994
,1,0.00705104,759,759,2,0.754461,619.869,66326
,1,0.500623,937.859,66588,2,1.21278,585.872,100770
,1,0.253837,988.056,35570,2,2.63004,636.394,237375
,1,0.169225,819.292,19663,2,6.7831,730.996,703218
,1,0.0916635,867.923,11283,2,0.754461,512.411,54828
,1,0.20448,782.586,22695,2,0.571134,557.198,45133
