Filename,NucleiCount,LC3CellID,LC3PunctaCount,LAMPCellID,LAMPObjCount
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_tepsin-A_NSW3010_LC3-488_LAMP-594_basal_60X_012_crop.nd2,2,1,35,1,108
,,2,55,2,90
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_tepsin-A_NSW3010_LC3-488_LAMP-594_basal_60X_013_crop_crop.nd2,1,1,45,1,39
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_tepsin-A_NSW3010_LC3-488_LAMP-594_basal_60X_014.nd2,4,1,26,1,32
,,2,69,2,85
,,3,28,3,57
,,4,73,4,47
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_tepsin-A_NSW3010_LC3-488_LAMP-594_basal_60X_015.nd2,3,1,17,1,52
,,2,66,2,75
,,3,82,3,33
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_002_crop.nd2,2,1,12,1,26
,,2,14,2,40
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_003.nd2,2,1,25,1,69
,,2,40,2,83
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_004_crop.nd2,3,1,67,1,75
,,2,19,2,56
,,3,46,3,72
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_005.nd2,2,1,103,1,235
,,2,68,2,162
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_006.nd2,6,1,8,1,23
,,2,32,2,26
,,3,18,3,42
,,4,25,4,67
,,5,20,5,22
,,6,34,6,95
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_007_crop.nd2,2,1,20,1,45
,,2,19,2,70
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_008.nd2,4,1,13,1,36
,,2,11,2,26
,,3,27,3,45
,,4,38,4,41
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_012.nd2,3,1,56,1,100
,,2,44,2,65
,,3,28,3,61
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_014.nd2,4,1,42,1,88
,,2,40,2,111
,,3,15,3,76
,,4,31,4,86
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_015.nd2,4,1,25,1,51
,,2,29,2,45
,,3,22,3,63
,,4,43,4,59
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_016_crop.nd2,2,1,29,1,62
,,2,51,2,127
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_019.nd2,2,1,32,1,61
,,2,38,2,55
