Filename,LC3CellID,LC3PunctaVol,LC3PunctaMeanInt,LC3SumObjInt,LAMPCellID,LAMPObjVol,LAMPMeanObjInt,LAMPSumObjInt
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_basal_60X_001.nd2,1,0.112817,727.875,11646,1,2.57363,692.619,252806
,1,1.50892,981.981,210144,1,0.423062,474.717,28483
,1,0.352552,927.54,46377,1,0.141021,565.5,11310
,1,0.317297,838.933,37752,1,1.48777,628.948,132708
,1,0.119868,856.824,14566,1,3.24348,684.513,314876
,2,0.0564083,719.625,5757,1,0.493572,456.329,31943
,2,0.380756,986.685,53281,1,2.61593,595.806,221044
,2,0.20448,750.414,21762,1,3.56077,626.84,316554
,2,0.0352552,728,3640,1,0.500623,528.113,37496
,2,1.0365,1009.24,148358,1,0.317297,491.2,22104
,2,0.0352552,742.6,3713,1,0.881379,509.96,63745
,2,0.141021,727.3,14546,1,2.19287,628.215,195375
,2,0.0423062,778.167,4669,1,4.42805,607.255,381356
,2,0.0916635,749.538,9744,1,1.01535,541.694,78004
,3,0.141021,819.8,16396,1,1.07176,599.901,91185
,3,0.225633,830.25,26568,1,0.824971,536.128,62727
,3,0.0423062,873.167,5239,1,3.29988,577.115,270090
,3,0.0141021,891,1782,1,0.112817,600.938,9615
,3,0.155123,789.818,17376,1,1.77686,591.861,149149
,,,,,1,1.26919,720.25,129645
,,,,,1,0.0987145,546.429,7650
,,,,,1,8.75033,645.654,801256
,,,,,1,0.126919,562.833,10131
,,,,,1,2.06595,593.249,173822
,,,,,1,0.782665,556.036,61720
,,,,,1,0.796767,474.832,53656
,,,,,1,1.53007,598.733,129925
,,,,,1,0.571134,477.457,38674
,,,,,1,1.11406,533.639,84315
,,,,,1,15.8014,700.112,1.56895e+06
,,,,,1,1.3538,567.062,108876
,,,,,1,1.57238,567.332,126515
,,,,,1,2.16467,674.782,207158
,,,,,1,1.55123,590.245,129854
,,,,,1,1.12111,604.006,96037
,,,,,1,0.775614,593.509,65286
,,,,,1,0.620491,476.795,41958
,,,,,1,2.35505,612.859,204695
,,,,,1,0.839073,554.689,66008
,,,,,1,1.53713,545.862,118998
,,,,,1,0.620491,604.364,53184
,,,,,1,19.1647,672.578,1.82807e+06
,,,,,1,2.06595,572.276,167677
,,,,,1,1.10701,596.382,93632
,,,,,1,1.26919,613.733,110472
,,,,,1,0.803818,523.912,59726
,,,,,1,1.06471,594.046,89701
,,,,,1,3.60308,559.538,285924
,,,,,1,1.21278,614.669,105723
,,,,,1,1.50187,522.563,111306
,,,,,1,0.761512,589.046,63617
,,,,,1,1.55123,598.914,131761
,,,,,1,1.3679,545.933,105911
,,,,,1,0.691001,555.255,54415
,,,,,1,0.0916635,494.538,6429
,,,,,1,1.07176,617.816,93908
,,,,,1,0.40896,465.741,27013
,,,,,2,0.430113,489.279,29846
,,,,,2,0.719206,520.216,53062
,,,,,2,5.37994,549.404,419195
,,,,,2,0.564083,553.163,44253
,,,,,2,3.04605,612.06,264410
,,,,,2,1.27624,562.613,101833
,,,,,2,1.3538,561.661,107839
,,,,,2,0.775614,565.636,62220
,,,,,2,4.28703,730.544,444171
,,,,,2,0.535879,502.211,38168
,,,,,2,0.860226,543.148,66264
,,,,,2,0.514726,503.562,36760
,,,,,2,1.70635,597.893,144690
,,,,,2,1.65699,575.153,135161
,,,,,2,0.95189,510.304,68891
,,,,,2,0.458317,505.338,32847
,,,,,2,0.655746,553.968,51519
,,,,,2,0.528828,540.493,40537
,,,,,2,1.62174,592.817,136348
,,,,,2,2.96143,668.229,280656
,,,,,2,0.465368,565.848,37346
,,,,,2,2.82041,620.588,248235
,,,,,2,0.507675,566.236,40769
,,,,,2,0.47947,567.368,38581
,,,,,2,3.92743,677.645,377448
,,,,,2,1.86147,724.538,191278
,,,,,2,51.529,714.05,5.21828e+06
,,,,,2,1.50892,628.107,134415
,,,,,2,0.232684,570.909,18840
,,,,,2,3.73,764.197,404260
,,,,,2,0.691001,554.827,54373
,,,,,2,5.37994,727.822,555328
,,,,,2,1.53007,608.802,132110
,,,,,2,6.71964,611.109,582387
,,,,,2,4.59727,674.285,439634
,,,,,2,7.71383,774.891,847731
,,,,,2,0.937788,584.113,77687
,,,,,2,0.33845,479.854,23033
,,,,,2,1.65699,599.757,140943
,,,,,2,2.64414,696.128,261048
,,,,,2,0.535879,515.197,39155
,,,,,2,6.00748,660.069,562379
,,,,,2,0.789716,559.652,62681
,,,,,2,6.80425,762.673,735979
,,,,,2,0.775614,577.773,63555
,,,,,2,1.65699,749.502,176133
,,,,,2,0.796767,549.788,62126
,,,,,2,4.41395,729.46,456642
,,,,,2,1.46662,612.519,127404
,,,,,2,0.669848,549.632,52215
,,,,,2,0.987145,610.993,85539
,,,,,2,2.26338,691.287,221903
,,,,,2,0.486521,586.71,40483
,,,,,2,0.599338,595.424,50611
,,,,,2,0.909584,646.767,83433
,,,,,2,1.13522,635.528,102320
,,,,,2,2.00955,658.856,187774
,,,,,2,1.01535,600.118,86417
,,,,,2,0.500623,559.944,39756
,,,,,2,1.45956,567.937,117563
,,,,,2,0.923686,536.916,70336
,,,,,2,3.13771,546.87,243357
,,,,,2,1.06471,534.04,80640
,,,,,2,0.81792,602.121,69846
,,,,,2,0.394858,535.893,30010
,,,,,2,0.698052,597.869,59189
,,,,,2,3.46911,676.894,333032
,,,,,2,0.444215,495.984,31247
,,,,,2,0.585236,541.759,44966
