Filename,NucleiCount,LC3CellID,LC3PunctaCount,LAMPCellID,LAMPObjCount
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_basal_60X_001.nd2,3,1,5,1,57
,,2,9,2,72
,,3,5,3,59
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_basal_60X_002_crop.nd2,4,1,2,1,52
,,2,3,2,32
,,3,2,3,60
,,4,5,4,58
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_basal_60X_003_crop.nd2,4,1,7,1,61
,,2,9,2,86
,,3,8,3,32
,,4,16,4,30
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_basal_60X_004.nd2,3,1,4,1,9
,,2,29,2,43
,,3,105,3,31
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_basal_60X_005_crop.nd2,2,1,8,1,78
,,2,15,2,93
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_basal_60X_006.nd2,4,1,6,1,59
,,2,9,2,36
,,3,11,3,59
,,4,11,4,36
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_basal_60X_008_crop.nd2,2,1,2,1,31
,,2,6,2,35
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_basal_60X_011_crop.nd2,2,1,2,1,36
,,2,11,2,22
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_basal_60X_012_crop.nd2,2,1,5,1,23
,,2,1,2,36
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_basal_60X_013.nd2,2,1,10,1,50
,,2,2,2,98
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_basal_60X_014_crop.nd2,2,1,7,1,72
,,2,25,2,62
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_basal_60X_018_crop_crop.nd2,5,1,4,1,13
,,2,1,2,33
,,3,6,3,17
,,4,3,4,47
,,5,4,5,21
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_Control-A_NSW3012_488-LC3_594-LAMP1_basal_60X_001.nd2,3,1,6,1,35
,,2,4,2,46
,,3,8,3,79
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_Control-A_NSW3012_488-LC3_594-LAMP1_basal_60X_003.nd2,6,1,11,1,58
,,2,16,2,57
,,3,8,3,25
,,4,2,4,30
,,5,11,5,47
,,6,10,6,23
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_Control-A_NSW3012_488-LC3_594-LAMP1_basal_60X_005.nd2,3,1,14,1,37
,,2,4,2,28
,,3,12,3,45
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_Control-A_NSW3012_488-LC3_594-LAMP1_basal_60X_006_crop.nd2,2,1,10,1,46
,,2,10,2,30
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_Control-A_NSW3012_488-LC3_594-LAMP1_basal_60X_008_crop.nd2,2,1,7,1,60
,,2,5,2,28
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_Control-A_NSW3012_488-LC3_594-LAMP1_basal_60X_009.nd2,2,1,9,1,29
,,2,15,2,26
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_Control-A_NSW3012_488-LC3_594-LAMP1_basal_60X_010.nd2,2,1,5,1,27
,,2,4,2,18
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_Control-A_NSW3012_488-LC3_594-LAMP1_basal_60X_011.nd2,2,1,14,1,59
,,2,16,2,61
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_Control-A_NSW3012_488-LC3_594-LAMP1_basal_60X_012_crop.nd2,2,1,36,1,26
,,2,5,2,25
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_Control-A_NSW3012_488-LC3_594-LAMP1_basal_60X_013_crop.nd2,4,1,12,1,36
,,2,7,2,52
,,3,7,3,36
,,4,14,4,35
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_Control-A_NSW3012_488-LC3_594-LAMP1_basal_60X_014_crop.nd2,3,1,10,1,53
,,2,10,2,25
,,3,9,3,23
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_Control-A_NSW3012_488-LC3_594-LAMP1_basal_60X_017.nd2,4,1,10,1,24
,,2,10,2,25
,,3,4,3,24
,,4,10,4,37
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_basal_60X_002_crop.nd2,2,1,10,1,16
,,2,25,2,24
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_basal_60X_003.nd2,2,1,2,1,68
,,2,3,2,62
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_basal_60X_005.nd2,2,1,22,1,49
,,2,9,2,53
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_basal_60X_006.nd2,2,2,11,1,34
,,,,2,145
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_basal_60X_007.nd2,4,1,3,1,41
,,2,7,2,62
,,3,26,3,110
,,4,9,4,43
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_basal_60X_008.nd2,2,,,1,37
,,,,2,52
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_basal_60X_012.nd2,1,1,35,1,89
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_basal_60X_013_crop.nd2,2,1,6,1,102
,,2,8,2,72
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_basal_60X_014.nd2,2,1,12,1,52
,,2,14,2,37
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_basal_60X_016.nd2,2,1,17,1,50
,,2,14,2,59
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_basal_60X_017_crop.nd2,2,1,8,1,38
,,,,2,58
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_basal_60X_018_crop.nd2,3,1,3,1,28
,,2,10,2,32
,,3,43,3,91
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_basal_60X_019_crop.nd2,3,1,19,1,22
,,2,4,2,20
,,3,7,3,26
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_basal_60X_022.nd2,3,1,86,1,22
,,2,12,2,69
,,3,35,3,76
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_basal_60X_023.nd2,2,1,6,1,93
,,2,14,2,84
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_basal_60X_024.nd2,1,1,43,1,93
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_WT-A_NSW3012_488-LC3_594-LAMP1_basal_60X_002_crop.nd2,2,1,15,1,36
,,2,6,2,56
LC3-puncta_LAMP1_batch-seg_23Feb21_012b_000_WT-A_NSW3012_488-LC3_594-LAMP1_basal_60X_003.nd2,2,1,11,1,64
