Filename,NucleiCount,LC3CellID,LC3PunctaCount,LAMPCellID,LAMPObjCount
LC3-puncta_LAMP1_batch-seg_22Feb21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_002_crop.nd2,1,1,17,1,27
LC3-puncta_LAMP1_batch-seg_22Feb21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_003_crop.nd2,1,1,15,1,9
LC3-puncta_LAMP1_batch-seg_22Feb21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_005.nd2,2,1,3,1,22
,,2,17,2,28
LC3-puncta_LAMP1_batch-seg_22Feb21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_006_crop.nd2,1,1,1,1,17
LC3-puncta_LAMP1_batch-seg_22Feb21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_007.nd2,2,1,8,1,13
,,2,4,2,26
LC3-puncta_LAMP1_batch-seg_22Feb21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_009.nd2,2,1,3,1,9
,,2,4,2,17
LC3-puncta_LAMP1_batch-seg_22Feb21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_010.nd2,2,1,2,1,12
,,2,5,2,18
LC3-puncta_LAMP1_batch-seg_22Feb21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_012.nd2,1,1,11,1,16
LC3-puncta_LAMP1_batch-seg_22Feb21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_013.nd2,2,1,3,1,19
,,2,8,2,23
LC3-puncta_LAMP1_batch-seg_22Feb21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_014.nd2,2,1,3,1,5
,,2,6,2,8
LC3-puncta_LAMP1_batch-seg_22Feb21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_015.nd2,2,1,11,1,16
,,2,16,2,18
LC3-puncta_LAMP1_batch-seg_22Feb21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_016.nd2,2,1,11,1,17
,,2,9,2,15
LC3-puncta_LAMP1_batch-seg_22Feb21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_017_crop.nd2,1,1,3,1,4
LC3-puncta_LAMP1_batch-seg_22Feb21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_018_crop.nd2,2,1,6,1,6
,,2,15,2,16
LC3-puncta_LAMP1_batch-seg_22Feb21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_019_crop.nd2,2,1,3,1,4
,,2,1,2,1
LC3-puncta_LAMP1_batch-seg_22Feb21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_020.nd2,2,1,9,1,13
,,2,4,2,14
LC3-puncta_LAMP1_batch-seg_22Feb21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_023.nd2,2,1,3,1,12
,,2,2,2,10
LC3-puncta_LAMP1_batch-seg_22Feb21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_027.nd2,4,1,8,1,17
,,2,1,2,12
,,3,2,3,18
,,4,2,4,10
LC3-puncta_LAMP1_batch-seg_22Feb21_016b_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_basal_60X_028.nd2,2,1,1,1,14
,,,,2,11
