Filename,NucleiCount,LC3CellID,LC3PunctaCount,LAMPCellID,LAMPObjCount
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_starved_60X_007_crop.nd2,2,1,21,1,88
,,2,15,2,74
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_starved_60X_008.nd2,2,1,22,1,51
,,2,36,2,41
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_starved_60X_010.nd2,3,1,9,1,24
,,2,35,2,94
,,3,35,3,36
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_starved_60X_011_crop.nd2,2,1,37,1,70
,,2,33,2,63
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_starved_60X_013.nd2,4,1,6,1,22
,,2,9,2,51
,,3,19,3,61
,,4,19,4,64
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_starved_60X_014.nd2,2,1,12,1,44
,,2,12,2,44
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_starved_60X_016.nd2,3,1,3,1,53
,,2,18,2,39
,,3,19,3,35
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_starved_60X_017_crop.nd2,2,1,25,1,115
,,2,5,2,61
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_tepsin-A_NSW3012_488-LC3_594-LAMP1_starved_60X_018.nd2,2,1,30,1,85
,,2,42,2,98
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_WT-A_NSW3012_488-LC3_594-LAMP1_starved_60X_001_crop.nd2,4,1,21,1,44
,,2,31,2,49
,,3,30,3,43
,,4,28,4,35
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_WT-A_NSW3012_488-LC3_594-LAMP1_starved_60X_002.nd2,2,1,29,1,32
,,2,34,2,42
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_WT-A_NSW3012_488-LC3_594-LAMP1_starved_60X_003.nd2,2,1,7,1,55
,,2,10,2,46
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_WT-A_NSW3012_488-LC3_594-LAMP1_starved_60X_004_crop.nd2,4,1,26,1,43
,,2,36,2,57
,,3,30,3,33
,,4,25,4,55
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_WT-A_NSW3012_488-LC3_594-LAMP1_starved_60X_005_crop.nd2,2,1,44,1,74
,,2,35,2,84
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_WT-A_NSW3012_488-LC3_594-LAMP1_starved_60X_007.nd2,3,1,13,1,59
,,2,18,2,64
,,3,29,3,44
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_WT-A_NSW3012_488-LC3_594-LAMP1_starved_60X_008.nd2,2,1,30,1,71
,,2,38,2,91
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_WT-A_NSW3012_488-LC3_594-LAMP1_starved_60X_010.nd2,3,1,48,1,48
,,2,25,2,36
,,3,35,3,58
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_WT-A_NSW3012_488-LC3_594-LAMP1_starved_60X_011.nd2,2,1,42,1,95
,,2,34,2,73
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_WT-A_NSW3012_488-LC3_594-LAMP1_starved_60X_012.nd2,2,1,20,1,56
,,2,21,2,34
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_WT-A_NSW3012_488-LC3_594-LAMP1_starved_60X_016.nd2,2,1,17,1,27
,,2,18,2,26
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_WT-A_NSW3012_488-LC3_594-LAMP1_starved_60X_017_crop.nd2,3,1,17,1,34
,,2,14,2,44
,,3,20,3,74
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_WT-A_NSW3012_488-LC3_594-LAMP1_starved_60X_018.nd2,2,1,20,1,92
,,2,25,2,58
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_WT-A_NSW3012_488-LC3_594-LAMP1_starved_60X_022.nd2,2,1,32,1,81
,,2,30,2,78
